"","HCC1806","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"4561","DDX11L5",-5.18251997831822,-5.18251997831822,-8.10691929234841,0.000199566293600397,0.000448629867555726,1.41045810762587
"22658","WEE2",-5.99883796879849,-5.99883796879849,-8.10396013231575,0.000199967815144603,0.000449483836488167,1.4085138585155
"18157","SCARNA16",-4.7341145465351,-4.7341145465351,-8.10349948512342,0.000200030403220861,0.00044957585484156,1.40821112835852
"23139","ZNF22",4.17210507977667,4.17210507977667,8.1006644861729,0.000200416092877765,0.000450393957641427,1.40634758197945
"7294","GP5",-4.696987516886,-4.696987516886,-8.09646833800221,0.000200988539452835,0.000451627846576251,1.4035879473979
"15569","PDE6D",3.55331456882033,3.55331456882033,8.09632119569067,0.00020100864714942,0.000451627846576251,1.40349114854758
"11232","LRRC49",2.52344845498883,2.52344845498883,8.09516363766763,0.000201166914053523,0.000451934541850201,1.40272956946083
"18009","RWDD3",2.56013505467311,2.56013505467311,8.09104803107605,0.000201730786798836,0.000453152292068134,1.40002083632706
"3431","CHMP4C",4.43526418964824,4.43526418964824,8.0906294401797,0.000201788239525247,0.000453232319496134,1.39974524862748
"9539","L3HYPDH",2.57194616982047,2.57194616982047,8.08936205957861,0.000201962306234499,0.000453574225498525,1.39891074484759
"14269","NLRP2",5.78921857999468,5.78921857999468,8.08730197189481,0.000202245616589107,0.000454161374334682,1.39755396927386
"6256","FBXO8",3.75486705353057,3.75486705353057,8.08066956976399,0.000203160851302308,0.00045616728776951,1.3931832068496
"1996","C16orf96",-6.42646131449974,-6.42646131449974,-8.07646140875608,0.000203744035555722,0.000457427278442486,1.39040791915371
"1851","C11orf16",-4.63337337979053,-4.63337337979053,-8.07536018595398,0.000203896966696463,0.00045772113658941,1.38968139147254
"11844","MFSD2A",2.64272290987037,2.64272290987037,8.0751040621132,0.000203932554629667,0.000457751540037297,1.38951239866601
"249","ACYP1",2.53748297881728,2.53748297881728,8.07164186464061,0.000204414325447203,0.000458783340673495,1.38722741532223
"18849","SLC26A11",2.9043245342531,2.9043245342531,8.07031834924824,0.000204598842258768,0.000459147839565906,1.38635362822783
"11081","LOC731275",3.68914560810538,3.68914560810538,8.06747941146521,0.000204995279913895,0.000459987787703914,1.38447881068962
"21766","TSHZ1",3.37066455602793,3.37066455602793,8.06593099509032,0.000205211879359994,0.000460364495064309,1.38345593176405
"10151","LOC100129148",-5.49147442223752,-5.49147442223752,-8.06571441947971,0.00020524219600407,0.000460364495064309,1.38331284493204
"11488","MANSC1",3.80239436980857,3.80239436980857,8.0656654195079,0.000205249055826188,0.000460364495064309,1.3832804711064
"23141","ZNF222",2.62047697040816,2.62047697040816,8.06536663708851,0.000205290890036994,0.000460364495064309,1.38308306353586
"11453","MAGI3",4.46009454766977,4.46009454766977,8.06534903247713,0.00020529335526519,0.000460364495064309,1.38307143179218
"4675","DENND5B",4.20747068069443,4.20747068069443,8.06532884484448,0.000205296182243944,0.000460364495064309,1.38305809335576
"7567","GSTP1",7.89517773357696,-Inf,9.76694712027775,0.000205449497309976,0.000460644830183458,1.4011734880031
"1632","BIRC7",-7.36659461664024,-Inf,-9.76633960099525,0.000205509930499377,0.000460644830183458,1.40092914261991
"6448","FLJ16341",-7.36659461664024,-Inf,-9.76633960099525,0.000205509930499377,0.000460644830183458,1.40092914261991
"7049","GHSR",-7.36659461664024,-Inf,-9.76633960099525,0.000205509930499377,0.000460644830183458,1.40092914261991
"3072","CDA",3.96909756682647,3.96909756682647,8.06246301148121,0.000205697956516047,0.000461016520998999,1.38116418834805
"6802","GABRB2",-6.89491545021396,-Inf,-9.76233665226029,0.000205908656196493,0.000461438943008869,1.39931858673713
"20696","TCTE3",-4.49427504265944,-4.49427504265943,-8.05985021603937,0.000206065048103901,0.000461739583886641,1.3794368428584
"3070","CD99L2",4.57284439274256,4.57284439274256,8.0583044530444,0.000206282580491635,0.000462177145436858,1.37841462578551
"3280","CENPP",3.70116144106966,3.70116144106966,8.05812016961414,0.000206308532056621,0.000462185421097824,1.37829274391553
"17017","RAB24",3.05580362158471,3.05580362158471,8.05719991979461,0.000206438181956011,0.000462425981479673,1.37768405955353
"13793","MYLPF",-4.71083719543723,-4.71083719543723,-8.05445629952973,0.000206825277435435,0.000463198208085986,1.37586887073551
"5689","EVI5L",3.7949165638962,3.7949165638962,8.05444030877972,0.000206827536016049,0.000463198208085986,1.37585828915486
"3586","CLEC17A",-4.75570278524851,-4.75570278524851,-8.05388592590414,0.000206905856307516,0.000463323639191801,1.37549142197359
"23157","ZNF248",2.86696322261961,2.86696322261961,8.05269644419339,0.000207074015674439,0.000463650197916727,1.37470417707895
"13735","MYADML2",-4.75261469189604,-4.75261469189604,-8.05253772186339,0.000207096466500552,0.000463650471901236,1.37459911859946
"2513","CACNA1E",-6.85844377890236,-Inf,-9.74591347439246,0.00020755423336769,0.000464575148849852,1.39270060928002
"18169","SCARNA6",-6.85844377890236,-Inf,-9.74591347439246,0.00020755423336769,0.000464575148849852,1.39270060928002
"15953","PLA2G2A",-6.85400432307611,-Inf,-9.74536445599964,0.000207609514793976,0.000464648800894257,1.39247908897491
"18853","SLC26A4-AS1",-5.47462258398534,-5.47462258398534,-8.04676369174443,0.000207915101959611,0.000465282583488664,1.37077569373528
"17601","RNF133",-5.71083719543723,-5.71083719543723,-8.04639014081668,0.000207968192217739,0.000465351240452731,1.37052823072469
"22876","ZBTB26",2.36586738334901,2.36586738334901,8.04610393112127,0.000208008879856472,0.000465378638937915,1.3703386191341
"20534","TAS2R3",-5.06459657025694,-5.06459657025694,-8.04598872535909,0.000208025260131073,0.000465378638937915,1.37026229410987
"19357","SNORA57",-4.78572726590195,-4.78572726590195,-8.04478462123987,0.000208196552207488,0.000465711667196864,1.36946448880284
"3550","CLCN6",3.52791967010781,3.52791967010781,8.04118257761349,0.00020870994130591,0.000466809772858382,1.36707707309735
"15368","PASK",3.45000254430848,3.45000254430848,8.0399072843657,0.000208892055712541,0.000467166778338279,1.3662315265796
"11906","MICALL2",3.90075375585514,3.90075375585514,8.03851139663382,0.000209091601733249,0.000467562686839426,1.3653058501614
"15254","PACRGL",3.15558949368494,3.15558949368494,8.03762059798271,0.000209219058978668,0.000467797325260261,1.36471502656732
"20076","SSBP2",2.67873714950812,2.67873714950812,8.0334088298692,0.000209822903943979,0.000469096963867004,1.36192056597253
"16549","PRKCH",3.91402934117884,3.91402934117884,8.02884480116449,0.000210479527139471,0.0004705143052052,1.35889052186278
"6692","FSCN1",6.64322859900804,6.64322859900804,8.02463389850722,0.000211087452649278,0.000471822492385604,1.35609319739953
"14376","NPEPL1",3.80831278429436,3.80831278429435,8.02374054810008,0.00021121668579289,0.000472060540360496,1.35549952776377
"6155","FANCE",3.86093771874217,3.86093771874217,8.02228097896602,0.000211428025530111,0.000472482022183895,1.35452942153928
"2381","C7orf31",3.07902816111377,3.07902816111377,8.02170059184838,0.000211512131125496,0.000472619111462491,1.35414361064877
"10441","LOC100506233",2.96428102809002,2.96428102809002,8.01879144555746,0.000211934286872301,0.000473511455444732,1.35220928979722
"17071","RABEP2",2.79792557589654,2.79792557589654,8.01678923917857,0.000212225399111056,0.000474110856647776,1.3508775440563
"3579","CLDND2",-4.6014858673604,-4.6014858673604,-8.01642849860108,0.000212277898345326,0.000474177125553002,1.35063756164405
"6410","FJX1",5.11836149528047,5.11836149528047,8.01549764924851,0.000212413435867766,0.000474428847563101,1.35001825869853
"194","ACSL5",5.01905343532858,5.01905343532858,8.00990072421368,0.000213230494189268,0.000476187384464809,1.34629286635506
"3588","CLEC18B",-4.89541873865028,-4.89541873865028,-8.00979037085294,0.000213246640411185,0.000476187384464809,1.34621938420051
"19327","SNORA31",-7.33012294532864,-Inf,-9.68932100356769,0.000213346245709753,0.000476358579802475,1.36976908748192
"15230","P2RY4",-5.50899846492283,-5.50899846492283,-8.00619191851906,0.000213773918461792,0.000477256851790927,1.34382262153182
"10582","LOC150381",2.57856213545512,2.57856213545512,8.00605152077229,0.000213794521327195,0.000477256851790927,1.34372908456435
"18442","SESN2",3.93209966214071,3.93209966214071,8.00430993168185,0.000214050284075033,0.000477709461125664,1.34256863527168
"7381","GPR161",3.14512717773845,3.14512717773845,8.00422608714251,0.000214062606060642,0.000477709461125664,1.342512761131
"18854","SLC26A5",-4.27278385347094,-4.27278385347094,-8.00420101314351,0.000214066291152146,0.000477709461125664,1.34249605164865
"19316","SNORA23",-5.71083719543723,-5.71083719543723,-8.00376015953281,0.000214131094780058,0.000477802727606695,1.34220225422278
"2014","C17orf64",-6.18755984433936,-6.18755984433936,-8.00356734608534,0.000214159444669526,0.00047781464151313,1.34207375212838
"6296","FCRL6",-5.85707782061752,-5.85707782061751,-8.00140198125709,0.000214478122140453,0.000478474237886388,1.34063038835476
"2257","C2orf82",-4.6507586131038,-4.6507586131038,-8.00008728189535,0.000214671874141213,0.000478855029169867,1.33975383735854
"2019","C17orf74",-5.31459657025694,-5.31459657025694,-7.99966543478813,0.000214734086116149,0.0004789423521162,1.3394725444954
"84","ABCG2",4.42437997338538,4.42437997338538,7.99918638222682,0.0002148047597312,0.000479016679798268,1.33915308614037
"14701","OMA1",3.43301823331536,3.43301823331536,7.99912682536929,0.000214813547906644,0.000479016679798268,1.33911336888145
"20767","TEX12",-5.1025973436182,-5.1025973436182,-7.99798102023963,0.00021498270313506,0.00047934240637813,1.33834919009204
"11666","MCHR2",-6.02142988996823,-6.02142988996823,-7.99349955758025,0.000215645780994744,0.000480769233665006,1.33535916068696
"22223","UNC79",-4.30289135606869,-4.30289135606869,-7.992652683452,0.000215771349851785,0.000480997539417318,1.33479391547317
"23039","ZHX2",4.57137199105761,4.57137199105761,7.98992244110884,0.000216176747459309,0.000481849523507143,1.33297116073613
"18625","SIGLEC15",-5.01244991480408,-5.01244991480408,-7.98887473039014,0.000216332549400758,0.000482145045433802,1.33227150635802
"5728","EXTL2",3.74367535942875,3.74367535942875,7.98600630182056,0.000216759768985827,0.000483045353401019,1.33035546197388
"8496","IKZF2",4.35303186750607,4.35303186750607,7.98179917197127,0.000217388136976941,0.000484393675751281,1.32754379997762
"3753","CNTNAP3",4.20904749077717,4.20904749077717,7.97581219715519,0.000218285970062274,0.000486342078148402,1.32353978771207
"6066","FAM63A",2.47226928469003,2.47226928469003,7.97561209072853,0.0002183160527942,0.000486356918385534,1.32340590095343
"21116","TMEM170A",2.85593530443991,2.85593530443991,7.97092265240721,0.000219022406178903,0.000487878166091496,1.32026722470356
"7387","GPR176",3.84757066780891,3.84757066780891,7.96969831277253,0.000219207258433947,0.000488237554583386,1.31944742466737
"10870","LOC440311",-4.58736418784503,-4.58736418784503,-7.96677612031397,0.00021964918332515,0.000489169379209216,1.31749019719765
"16796","PSRC1",4.52882658900687,4.52882658900687,7.96481246773888,0.000219946725776936,0.000489779491770304,1.31617452967392
"22890","ZBTB45",3.82239360320271,3.82239360320271,7.96328783026908,0.000220178067553246,0.000490242072994119,1.31515275651017
"3989","CREBRF",3.40021114217427,3.40021114217427,7.96297965147976,0.000220224863385509,0.000490260007093853,1.31494619635344
"10168","LOC100129636",-5.16042873014482,-5.16042873014482,-7.96292382292696,0.000220233341977918,0.000490260007093853,1.31490877570718
"23060","ZMAT5",2.53130285236346,2.53130285236346,7.96207190065033,0.000220362768827536,0.000490495540219078,1.31433771460533
"9042","KDELC1",3.02615856265461,3.02615856265461,7.96007614957371,0.000220666314058103,0.000491118543560183,1.31299965380475
"2227","C2CD5",4.46788977577556,4.46788977577556,7.9543750218525,0.000221536095148697,0.000493001502064375,1.30917523823009
"11652","MC5R",-5.06761477833208,-5.06761477833208,-7.95071852975471,0.000222096024760425,0.000494194594315283,1.30672078666511
"8430","IFT172",3.98281747960495,3.98281747960495,7.946739489719,0.000222707205238449,0.000495501458992436,1.30404838856857
"23375","ZNF566",2.85612737293819,2.85612737293819,7.94540044577283,0.000222913319061817,0.000495906907040779,1.30314872531681
"10429","LOC100506100",2.41751542653117,2.41751542653117,7.9415810520052,0.000223502435016442,0.000497164227436146,1.30058165925001
"2071","C19orf80",-6.89491545021396,-Inf,-9.59069972633745,0.00022390775348221,0.000497959141165051,1.32933297445572
"19189","SMIM18",-6.89491545021396,-Inf,-9.59069972633745,0.00022390775348221,0.000497959141165051,1.32933297445572
"23643","ZRANB3",2.85295304441965,2.85295304441964,7.93825945354101,0.000224016231676691,0.000498137890005714,1.29834804725862
